,acc_ankle_x,acc_ankle_y,acc_ankle_z,acc_chest_x,acc_chest_y,acc_chest_z,acc_hand_x,acc_hand_y,acc_hand_z,gyr_ankle_x,gyr_ankle_y,gyr_ankle_z,gyr_chest_x,gyr_chest_y,gyr_chest_z,gyr_hand_x,gyr_hand_y,gyr_hand_z,hr_hr,labelother,labellying,labelsitting,labelstanding,labelironing,labelvacuumcleaning,labelascendingstairs,labeldescendingstairs,labelwalking,labelcycling,labelnordicwalking,labelrunning,labelropejumping,mag_ankle_x,mag_ankle_y,mag_ankle_z,mag_chest_x,mag_chest_y,mag_chest_z,mag_hand_x,mag_hand_y,mag_hand_z,temp_ankle_temp,temp_chest_temp,temp_hand_temp
2016-02-08 18:28:25.656,9.573089799999998,-0.17644529235999998,-2.7393532000000005,0.193260166,9.787450799999998,0.09839727000000002,-9.555726400000001,-1.6069972,1.13628316,0.002842277980000001,-0.00545570838,0.00804218458,0.008583818100000001,-0.006441491200000002,-0.01186755558,-0.0044761248800000005,-0.0008578584100000006,-0.013167712199999999,78.0,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.560064000000004,38.421702,-17.868994,6.8632420000000005,-39.35971600000001,25.603898,49.308316,-7.7161740000000005,11.150284,32.96875,36.22875,33.43375
2016-02-08 18:28:30.656,9.590104000000002,-0.19398772292,-2.7429292000000003,0.0471158412,9.7579222,0.338238814,-9.4833984,-1.9491975,0.612784086,-0.0008185328999999997,-0.0032170642,0.0075966535000000016,0.0021614902200000003,-0.011006164395999999,-0.0190979089,0.010872315160000057,0.0012288158000000016,-0.033221643940000004,78.17636363636366,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.37039,38.404638,-17.825761999999994,7.890766,-39.693274,24.665392,49.65310200000001,-8.614301800000002,5.84801,33.05,36.3275,33.5
2016-02-08 18:28:35.656,9.5721566,-0.16117594400000002,-2.7487186,0.04151595452,9.7994486,0.35116748200000003,-9.608914599999999,-1.6461202000000001,0.8739040400000002,-0.0004277598399999997,-0.010862073678000005,0.0039811739800000015,-0.0005735747239999995,-0.010407557259999999,-0.01484346742,-0.013599862319999998,-0.0017085543999999983,-0.006111483799999999,77.0109090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.45182400000001,38.21076,-17.715198,8.562413000000001,-39.674054,24.520491999999994,48.79566400000001,-8.8971594,11.667664000000002,33.08375,36.375,33.5625
2016-02-08 18:28:40.656,9.574541400000001,-0.12189729019999998,-2.7250122,0.220383672,9.8109728,0.137533102,-9.5949454,-1.6375822,0.99185594,0.009456354604,-0.0024734452,-0.0003569946199999997,0.011147144,0.0018687518600000003,-0.013578415534,-0.007865409682,-0.003356004079999998,-0.0064407238,76.52363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.616962,38.213382,-17.874636,6.926482199999999,-39.374871999999996,25.531104,49.02218599999999,-9.5056874,10.531810400000001,33.125,36.43,33.5725
2016-02-08 18:28:45.656,9.5613178,-0.13286508266,-2.766757,-0.0740976492,9.7861988,0.229855394,-9.547242800000001,-1.7809128,0.95918542,0.011375746840000001,-0.00895205764,0.004723353905999999,0.0025835480800000003,-0.0020594614800000005,-0.022946616839999996,-0.0015873537400000002,0.006371775200000001,-0.018444968880000003,74.46181818181817,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.561636,38.36575600000001,-17.656198000000003,8.324463399999999,-39.402646000000004,24.954411999999998,49.09644600000001,-8.384932599999999,11.1232746,33.14375,36.455,33.625
2016-02-08 18:28:50.656,9.5557544,-0.17337845523999998,-2.8229034,-0.0586322968,9.780303,0.36722694,-9.3401222,-1.873494848,1.30898664,0.010022345799999999,-0.0086443228,0.004659656979999999,0.006448416000000004,-0.003745661000000001,-0.015106533676000003,-0.003690331599999971,-0.0491282296,0.04870603959999999,74.97636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.578294,38.41870400000001,-17.446396000000004,8.7035154,-39.609590000000004,24.492901999999997,49.397504,-5.185757993999999,9.14265406,33.1875,36.5,33.6325
2016-02-08 18:28:55.656,9.5005518,-0.3810635400000001,-3.0135848,-0.45999564,9.7641012,0.4513895999999999,-9.5605502,-1.8610474,0.8969068400000001,0.00284331676,-0.004163381799999999,0.011614879539999998,0.004188890666000001,0.001413874200000001,-0.02267990946,-0.020866657,0.0028893329800000014,-0.01057018363,77.05272727272728,1,0,0,0,0,0,0,0,0,0,0,0,0,-34.903758,39.312002,-16.582728,10.2519396,-39.573458,24.10303,48.925956000000006,-7.4694032,11.892343999999998,33.195,36.52125,33.685
2016-02-08 18:29:00.656,9.5582476,-0.22767589944000002,-2.7777768,0.008051075999999999,9.779427,0.380828504,-9.5406526,-1.7602007999999998,0.9053318920000001,0.00972243208,0.0039519864,0.0024137805000000005,0.008512051720000002,-0.0090028016,-0.0034267414,0.0012779895999999807,-0.00034269356,-0.003132295480000002,78.56363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.23387,38.791058,-17.201676000000003,8.459842199999999,-39.505158,24.49344,48.945671999999995,-8.510838,11.229335200000005,,36.5625,33.6875
2016-02-08 18:29:05.656,9.5648624,-0.2552761596,-2.750525,0.036307579600000014,9.7834454,0.098664586,-9.5882768,-1.69904406,0.91364924,0.007644522979999999,-0.0029411892999999987,0.002800560001999999,0.007143095159999999,-0.0003750268400000015,-0.017507541386,0.006671844940000001,0.012439177440000004,-0.008815970020000006,80.87818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,-34.954134,38.773482,-17.555252000000007,7.774594199999999,-39.086162,25.366156,48.71456200000001,-6.941640199999998,12.24127,,36.59625,33.69875
2016-02-08 18:29:10.656,9.5774712,-0.19338723038,-2.7137334000000006,0.0147222362,9.813856800000002,0.24221659399999995,-9.5656386,-1.7157217400000002,0.850925064,0.01540851206,-0.0077247254,0.0010431067599999996,0.0008230009999999996,-0.005092265920000003,-0.0127483712,-0.009567085419999987,-0.01120882084,-0.02486563144,83.98909090909092,1,0,0,0,0,0,0,0,0,0,0,0,0,-35.176518,38.50625,-17.637978000000004,7.6606062,-39.445215999999995,24.961312,48.639986,-7.600415000000001,12.124679400000002,,36.61875,33.7425
