,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
0,1.528912493297164e+18,1,0,0,0,-0.04867,-0.07566200000000001,-0.17356300000000002
10,1.528912493498736e+18,1,0,0,0,-0.078613,-0.117999,-0.19153499999999998
20,1.5289124937003077e+18,1,0,0,0,0.069135,0.169848,0.27213699999999996
30,1.5289124939018796e+18,1,0,0,0,0.073013,-0.093029,0.048957
40,1.5289124941034514e+18,1,0,0,0,0.14193699999999998,0.035392,-0.14937899999999998
50,1.5289124943050232e+18,1,0,0,0,-0.126962,0.039389,0.261358
60,1.528912494506595e+18,1,0,0,0,0.036974,-0.099064,-0.322419
70,1.528912494708167e+18,1,0,0,0,-0.145523,0.037214,0.10671300000000004
80,1.5289124949097388e+18,1,0,0,0,0.193004,-0.039996,0.09081499999999999
90,1.5289124951113106e+18,1,0,0,0,0.030352999999999998,-0.092199,-0.11037899999999999
100,1.5289124953128824e+18,1,0,0,0,-0.12294000000000001,0.104743,0.018202
110,1.5289124955144545e+18,1,0,0,0,-0.12488800000000001,0.034078,0.097312
120,1.528912495716026e+18,1,0,0,0,0.384863,-0.052226,-0.42080500000000004
130,1.528912495917598e+18,1,0,0,0,-0.11383099999999999,0.056313,0.40821799999999997
140,1.5289124961191698e+18,1,0,0,0,0.126276,-0.053614,0.156136
150,1.5289124963207416e+18,1,0,0,0,-0.035722000000000004,0.200214,0.036308
160,1.5289124965223137e+18,1,0,0,0,-0.158462,0.13880499999999998,0.034219
170,1.5289124967238853e+18,1,0,0,0,0.27482199999999996,0.163867,-0.125057
180,1.5289124969254572e+18,1,0,0,0,0.288871,-0.346916,0.038704
190,1.528912497127029e+18,1,0,0,0,0.012952000000000002,-0.21805500000000005,0.296229
200,1.5289124973286008e+18,1,0,0,0,0.303394,0.32255300000000003,-0.039103
210,1.528912497530173e+18,1,0,0,0,-0.564077,0.202768,0.045825
220,1.5289124977317445e+18,1,0,0,0,0.7793869999999999,-0.201632,-0.24686599999999997
230,1.5289124979333164e+18,1,0,0,0,-0.018017,-0.234632,-0.48021400000000003
240,1.5289124981348882e+18,1,0,0,0,-0.364169,-0.008199,0.470926
250,1.52891249833646e+18,1,0,0,0,0.087508,0.166773,0.010987
260,1.528912498538032e+18,1,0,0,0,-0.105216,0.437586,0.385048
270,1.5289124987396037e+18,1,0,0,0,0.8017479999999999,-0.018816,0.39318000000000003
280,1.5289124989411756e+18,1,0,0,0,0.079417,-0.10207000000000001,0.06741
290,1.5289124991427474e+18,1,0,0,0,-0.277035,0.16836099999999998,-0.139852
300,1.5289124993443192e+18,1,0,0,0,0.477603,-0.341825,-0.243856
310,1.528912499545891e+18,1,0,0,0,0.387221,0.369341,0.307442
320,1.528912499747463e+18,1,0,0,0,-0.805562,-0.18604,-0.07499700000000001
330,1.5289124999490348e+18,1,0,0,0,0.24646300000000002,-0.192737,-0.274405
340,1.5289125001506066e+18,1,0,0,0,-0.096899,0.23409899999999997,0.220371
350,1.5289125003521784e+18,1,0,0,0,-0.319936,0.265853,0.174233
360,1.5289125005537505e+18,1,0,0,0,0.6820069999999999,0.507088,0.29734299999999997
370,1.528912500755322e+18,1,0,0,0,-0.014547,-0.517967,-0.107521
380,1.528912500956894e+18,1,0,0,0,0.1418,-0.170048,-0.291952
390,1.5289125011584658e+18,1,0,0,0,0.021972000000000005,-0.200349,-0.07189600000000002
400,1.5289125013600376e+18,1,0,0,0,-0.097856,-0.23065,0.14816
410,1.5289125015616097e+18,1,0,0,0,-0.126169,0.761087,0.222125
420,1.5289125017631813e+18,1,0,0,0,-0.288921,-0.255625,0.017321
430,1.5289125019647532e+18,1,0,0,0,0.46171899999999994,0.149351,-0.31240999999999997
440,1.528912502166325e+18,1,0,0,0,-0.103925,0.45458000000000004,-0.06275900000000001
450,1.5289125023678968e+18,1,0,0,0,-0.722288,-0.5268520000000001,0.05899
460,1.528912502569469e+18,1,0,0,0,0.527921,0.11086700000000001,0.060099
470,1.5289125027710405e+18,1,0,0,0,-0.30652399999999996,-0.104474,-0.086215
480,1.5289125029726124e+18,1,0,0,0,0.34880900000000004,-0.038602,-0.11499200000000001
490,1.5289125031741842e+18,1,0,0,0,0.16105999999999998,0.540972,-0.033863
500,1.528912503375756e+18,1,0,0,0,-0.306971,-0.270415,0.145701
510,1.528912503577328e+18,1,0,0,0,0.268229,-0.03741,-0.223073
520,1.5289125037788997e+18,1,0,0,0,-0.29331799999999997,0.180763,0.360263
530,1.5289125039804716e+18,1,0,0,0,0.43384700000000004,-0.4358800000000001,-0.20670500000000008
540,1.5289125041820434e+18,1,0,0,0,0.325886,0.108839,-0.264907
550,1.5289125043836152e+18,1,0,0,0,0.106351,0.065191,0.26511
560,1.528912504585187e+18,1,0,0,0,-0.036025,0.035483,-0.17335799999999998
570,1.528912504786759e+18,1,0,0,0,-0.23027199999999998,-0.11654400000000001,0.411682
580,1.5289125049883308e+18,1,0,0,0,0.178895,-0.12202,0.222214
590,1.5289125051899026e+18,1,0,0,0,0.995125,0.09864400000000001,-0.386049
600,1.5289125053914744e+18,1,0,0,0,0.049712,0.8513299999999999,-0.18606199999999998
610,1.5289125055930465e+18,1,0,0,0,-0.761231,-0.48801300000000003,0.408603
620,1.528912505794618e+18,1,0,0,0,-0.418059,0.29937800000000003,0.87215
630,1.52891250599619e+18,1,0,0,0,0.583972,0.959558,0.450559
640,1.5289125061977618e+18,1,0,0,0,0.085852,-1.015557,-0.137587
650,1.5289125063993336e+18,1,0,0,0,1.156244,2.2196740000000004,-1.444683
660,1.5289125066009057e+18,1,0,0,0,-0.376362,-1.035592,0.25424800000000003
670,1.5289125068024773e+18,1,0,0,0,-0.689986,1.023842,0.202664
680,1.5289125070040492e+18,1,0,0,0,0.521027,-0.636356,-0.506506
690,1.528912507205621e+18,1,0,0,0,1.189966,1.0509469999999999,0.9577969999999999
700,1.5289125074071928e+18,1,0,0,0,-0.294571,-0.828941,0.392813
710,1.528912507608765e+18,1,0,0,0,-0.50568,0.737096,0.439849
720,1.5289125078103365e+18,1,0,0,0,0.9929129999999999,0.111304,-0.7441220000000001
730,1.5289125080119084e+18,1,0,0,0,1.021764,0.42012,0.239069
740,1.5289125082134802e+18,1,0,0,0,-0.263803,-1.022122,0.547261
750,1.528912508415052e+18,1,0,0,0,-0.783562,0.049010000000000005,1.42239
760,1.528912508616624e+18,1,0,0,0,0.459442,-0.665321,-0.37648400000000004
770,1.5289125088181957e+18,1,0,0,0,1.4938200000000001,1.785773,1.242343
780,1.5289125090197676e+18,1,0,0,0,-0.160603,-1.134221,0.4537060000000001
790,1.5289125092213394e+18,1,0,0,0,-1.58182,1.536666,1.484831
800,1.5289125094229112e+18,1,0,0,0,0.544076,-1.216458,-0.889117
810,1.528912509624483e+18,1,0,0,0,0.8529479999999999,4.7437830000000005,0.970825
820,1.528912509826055e+18,1,0,0,0,-0.125772,-1.142842,0.5369520000000001
830,1.5289125100276268e+18,1,0,0,0,-0.820441,2.726978,0.33716999999999997
840,1.5289125102291986e+18,1,0,0,0,0.607097,-1.1553870000000002,-0.28579299999999996
850,1.5289125104307704e+18,1,0,0,0,-0.585041,5.504901,-2.1308
860,1.5289125106323425e+18,1,0,0,0,-0.110574,-1.241833,-0.14202599999999999
870,1.528912510833914e+18,1,0,0,0,0.095802,2.930512,0.512416
