,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
0,1.528912493297164e+18,1,0,0,0,2.393431,0.849087,-0.052322
10,1.528912493498736e+18,1,0,0,0,2.3754470000000003,0.82373,-0.084108
20,1.5289124937003077e+18,1,0,0,0,2.2848580000000003,0.798676,-0.022722
30,1.5289124939018796e+18,1,0,0,0,2.221649,0.695714,0.06361499999999999
40,1.5289124941034514e+18,1,0,0,0,2.2350380000000003,0.626139,0.10621900000000001
50,1.5289124943050232e+18,1,0,0,0,2.336462,0.490579,0.11093399999999999
60,1.528912494506595e+18,1,0,0,0,2.271835,0.43155699999999997,0.075025
70,1.528912494708167e+18,1,0,0,0,2.298314,0.4135390000000001,0.208688
80,1.5289124949097388e+18,1,0,0,0,2.274877,0.457503,0.372934
90,1.5289124951113106e+18,1,0,0,0,2.359343,0.362643,0.32315
100,1.5289124953128824e+18,1,0,0,0,2.313275,0.254784,0.260667
110,1.5289124955144545e+18,1,0,0,0,2.341373,0.26950599999999997,0.303806
120,1.528912495716026e+18,1,0,0,0,2.412412,0.208123,0.441615
130,1.528912495917598e+18,1,0,0,0,2.4941619999999998,0.323234,0.468967
140,1.5289124961191698e+18,1,0,0,0,2.589893,0.288745,0.6126659999999999
150,1.5289124963207416e+18,1,0,0,0,2.805671,0.18531199999999998,0.519786
160,1.5289124965223137e+18,1,0,0,0,-3.08455,-0.025245,0.30059
170,1.5289124967238853e+18,1,0,0,0,-2.97105,-0.368134,0.41990500000000003
180,1.5289124969254572e+18,1,0,0,0,3.1236080000000004,-0.48902399999999996,0.665875
190,1.528912497127029e+18,1,0,0,0,2.962645,-0.203574,0.67645
200,1.5289124973286008e+18,1,0,0,0,-3.043739,-0.256814,0.6617649999999999
210,1.528912497530173e+18,1,0,0,0,-2.336464,-0.696214,1.142936
220,1.5289124977317445e+18,1,0,0,0,-1.671201,-1.100571,1.890264
230,1.5289124979333164e+18,1,0,0,0,-1.8972229999999999,-0.9154120000000001,1.8325080000000002
240,1.5289124981348882e+18,1,0,0,0,-2.148193,-0.5009859999999999,1.243739
250,1.52891249833646e+18,1,0,0,0,-1.914125,-0.326419,1.0611620000000002
260,1.528912498538032e+18,1,0,0,0,-1.680512,-0.458754,1.087332
270,1.5289124987396037e+18,1,0,0,0,-1.3243040000000001,-0.802225,1.420289
280,1.5289124989411756e+18,1,0,0,0,-1.615306,-0.5109640000000001,1.855737
290,1.5289124991427474e+18,1,0,0,0,-1.7706830000000002,-0.21872399999999997,1.580149
300,1.5289124993443192e+18,1,0,0,0,-1.648184,-0.22014,1.362943
310,1.528912499545891e+18,1,0,0,0,-1.467953,-0.147474,1.4345700000000001
320,1.528912499747463e+18,1,0,0,0,-1.1875120000000001,-0.180705,1.729052
330,1.5289124999490348e+18,1,0,0,0,-1.306589,-0.269885,1.563093
340,1.5289125001506066e+18,1,0,0,0,-1.4833370000000001,-0.18726700000000002,1.385197
350,1.5289125003521784e+18,1,0,0,0,-1.3610200000000001,0.013535,1.014361
360,1.5289125005537505e+18,1,0,0,0,-1.3096649999999999,0.107269,0.878199
370,1.528912500755322e+18,1,0,0,0,-1.251627,-0.28618499999999997,1.125789
380,1.528912500956894e+18,1,0,0,0,-1.4044159999999999,-0.684121,1.5475079999999999
