,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
0,1.528912493297164e+18,1,0,0,0,-0.034552,-0.750677,-0.6597649999999999
10,1.528912493498736e+18,1,0,0,0,-0.057083,-0.733685,-0.677087
20,1.5289124937003077e+18,1,0,0,0,-0.015851,-0.716433,-0.697475
30,1.5289124939018796e+18,1,0,0,0,0.048798,-0.640934,-0.766044
40,1.5289124941034514e+18,1,0,0,0,0.08590700000000001,-0.58602,-0.8057300000000001
50,1.5289124943050232e+18,1,0,0,0,0.09765,-0.471137,-0.8766379999999999
60,1.528912494506595e+18,1,0,0,0,0.068082,-0.418285,-0.90576
70,1.528912494708167e+18,1,0,0,0,0.189712,-0.401853,-0.8958370000000001
80,1.5289124949097388e+18,1,0,0,0,0.326879,-0.441709,-0.83549
90,1.5289124951113106e+18,1,0,0,0,0.296902,-0.354746,-0.886569
100,1.5289124953128824e+18,1,0,0,0,0.24940500000000002,-0.25203600000000004,-0.935027
110,1.5289124955144545e+18,1,0,0,0,0.28835500000000003,-0.266256,-0.91976
120,1.528912495716026e+18,1,0,0,0,0.418177,-0.20662399999999997,-0.884553
130,1.528912495917598e+18,1,0,0,0,0.428559,-0.317635,-0.8458399999999999
140,1.5289124961191698e+18,1,0,0,0,0.551245,-0.284749,-0.784249
150,1.5289124963207416e+18,1,0,0,0,0.48818999999999996,-0.184253,-0.853066
160,1.5289124965223137e+18,1,0,0,0,0.295989,0.025241999999999997,-0.954858
170,1.5289124967238853e+18,1,0,0,0,0.38036,0.359875,-0.8519479999999999
180,1.5289124969254572e+18,1,0,0,0,0.545342,0.469765,-0.694207
190,1.528912497127029e+18,1,0,0,0,0.613101,0.20217000000000002,-0.7636970000000001
200,1.5289124973286008e+18,1,0,0,0,0.594357,0.254,-0.7630359999999999
210,1.528912497530173e+18,1,0,0,0,0.69811,0.641317,-0.318362
220,1.5289124977317445e+18,1,0,0,0,0.430162,0.891466,0.142297
230,1.5289124979333164e+18,1,0,0,0,0.588711,0.792814,0.15768900000000002
240,1.5289124981348882e+18,1,0,0,0,0.830615,0.48029099999999997,-0.28177800000000003
250,1.52891249833646e+18,1,0,0,0,0.82683,0.320653,-0.46209799999999995
260,1.528912498538032e+18,1,0,0,0,0.793845,0.44283100000000003,-0.416786
270,1.5289124987396037e+18,1,0,0,0,0.6872510000000001,0.718904,-0.104225
280,1.5289124989411756e+18,1,0,0,0,0.837102,0.489018,0.24519699999999997
290,1.5289124991427474e+18,1,0,0,0,0.976132,0.21698499999999998,0.00913
300,1.5289124993443192e+18,1,0,0,0,0.9548620000000001,0.218367,-0.20138
310,1.528912499545891e+18,1,0,0,0,0.979981,0.14694000000000002,-0.134331
320,1.528912499747463e+18,1,0,0,0,0.971425,0.179723,0.15503
330,1.5289124999490348e+18,1,0,0,0,0.963773,0.26661999999999997,-0.007423999999999998
340,1.5289125001506066e+18,1,0,0,0,0.965643,0.186174,-0.181309
350,1.5289125003521784e+18,1,0,0,0,0.849065,-0.013534000000000001,-0.5281140000000001
360,1.5289125005537505e+18,1,0,0,0,0.765167,-0.107064,-0.634868
370,1.528912500755322e+18,1,0,0,0,0.8658959999999999,0.28229499999999996,-0.41295699999999996
380,1.528912500956894e+18,1,0,0,0,0.7747649999999999,0.631992,-0.018046
390,1.5289125011584658e+18,1,0,0,0,0.743287,0.5015270000000001,-0.3072015
400,1.5289125013600376e+18,1,0,0,0,0.711809,0.371062,-0.596357
410,1.5289125015616097e+18,1,0,0,0,0.753779,0.53498,-0.38159499999999996
420,1.5289125017631813e+18,1,0,0,0,0.588649,0.7413270000000001,-0.322375
430,1.5289125019647532e+18,1,0,0,0,0.6111270000000001,0.704866,-0.360121
440,1.528912502166325e+18,1,0,0,0,0.579709,0.794215,-0.182098
450,1.5289125023678968e+18,1,0,0,0,0.633513,0.603421,-0.48429799999999995
460,1.528912502569469e+18,1,0,0,0,0.6987180000000001,0.573902,-0.4271180000000001
470,1.5289125027710405e+18,1,0,0,0,0.758871,0.619717,-0.20016199999999998
480,1.5289125029726124e+18,1,0,0,0,0.6949380000000001,0.717969,-0.039763
490,1.5289125031741842e+18,1,0,0,0,0.725262,0.664686,-0.17941
500,1.528912503375756e+18,1,0,0,0,0.784709,0.543867,-0.297389
510,1.528912503577328e+18,1,0,0,0,0.819493,0.48302799999999996,-0.308406
520,1.5289125037788997e+18,1,0,0,0,0.8312360000000001,0.48691599999999996,-0.268252
530,1.5289125039804716e+18,1,0,0,0,0.646658,0.738935,-0.18923
540,1.5289125041820434e+18,1,0,0,0,0.72108,0.6693899999999999,-0.17877300000000002
550,1.5289125043836152e+18,1,0,0,0,0.555758,0.701609,-0.44595799999999997
560,1.528912504585187e+18,1,0,0,0,0.469359,0.750787,-0.46478
570,1.528912504786759e+18,1,0,0,0,0.484026,0.8253149999999999,-0.290817
580,1.5289125049883308e+18,1,0,0,0,0.182387,0.9719190000000001,0.14868199999999998
590,1.5289125051899026e+18,1,0,0,0,0.214652,0.9209940000000001,0.32510500000000003
600,1.5289125053914744e+18,1,0,0,0,0.40884499999999996,0.9122049999999999,-0.026966000000000004
610,1.5289125055930465e+18,1,0,0,0,0.399461,0.853675,-0.334171
620,1.528912505794618e+18,1,0,0,0,0.414962,0.833572,-0.364643
630,1.52891250599619e+18,1,0,0,0,0.276594,0.960043,-0.042585000000000005
640,1.5289125061977618e+18,1,0,0,0,0.037225,0.9778680000000001,0.20588499999999998
650,1.5289125063993336e+18,1,0,0,0,0.336783,0.938591,-0.075001
660,1.5289125066009057e+18,1,0,0,0,0.28058299999999997,0.9230889999999999,-0.263022
670,1.5289125068024773e+18,1,0,0,0,0.31266700000000003,0.9485399999999999,-0.050106
680,1.5289125070040492e+18,1,0,0,0,-0.054504,0.965717,0.253805
690,1.528912507205621e+18,1,0,0,0,-0.024621,0.995532,-0.091159
700,1.5289125074071928e+18,1,0,0,0,0.184814,0.963036,-0.195975
710,1.528912507608765e+18,1,0,0,0,0.193454,0.9762059999999999,-0.097961
720,1.5289125078103365e+18,1,0,0,0,-0.147072,0.9619530000000001,0.23025199999999998
730,1.5289125080119084e+18,1,0,0,0,-0.10580999999999999,0.9943850000000001,-0.0018559999999999998
740,1.5289125082134802e+18,1,0,0,0,0.163492,0.9613459999999999,-0.22154699999999997
750,1.528912508415052e+18,1,0,0,0,0.240914,0.932481,-0.269146
760,1.528912508616624e+18,1,0,0,0,0.005142,0.9737620000000001,0.227512
770,1.5289125088181957e+18,1,0,0,0,-0.037064,0.9931120000000001,-0.111148
780,1.5289125090197676e+18,1,0,0,0,0.106938,0.9601639999999999,-0.25816500000000003
790,1.5289125092213394e+18,1,0,0,0,0.337725,0.940782,-0.029524
800,1.5289125094229112e+18,1,0,0,0,-0.041772000000000004,0.961255,0.27247899999999997
810,1.528912509624483e+18,1,0,0,0,0.206317,0.9763860000000001,-0.06405599999999999
820,1.528912509826055e+18,1,0,0,0,0.14699700000000002,0.9632299999999999,-0.22489499999999998
830,1.5289125100276268e+18,1,0,0,0,0.163626,0.986477,-0.009396
840,1.5289125102291986e+18,1,0,0,0,-0.24485300000000002,0.9466620000000001,0.20946900000000002
850,1.5289125104307704e+18,1,0,0,0,0.15416300000000002,0.98779,0.022463
860,1.5289125106323425e+18,1,0,0,0,0.084802,0.9764370000000001,-0.198443
870,1.528912510833914e+18,1,0,0,0,0.3032,0.950652,0.0658
880,1.528912511035486e+18,1,0,0,0,-0.07842400000000001,0.976065,0.202846
890,1.5289125112370578e+18,1,0,0,0,0.369367,0.926407,-0.073067
900,1.5289125114386296e+18,1,0,0,0,0.082138,0.9765360000000001,-0.199074
910,1.5289125116402017e+18,1,0,0,0,0.22150799999999998,0.967252,0.123923
920,1.5289125118417733e+18,1,0,0,0,-0.13777799999999998,0.972144,0.189614
930,1.5289125120433452e+18,1,0,0,0,0.29919,0.9531350000000001,-0.04493
940,1.528912512244917e+18,1,0,0,0,0.053277,0.9863,-0.156125
950,1.5289125124464888e+18,1,0,0,0,0.09925199999999999,0.9707870000000001,0.218452
960,1.528912512648061e+18,1,0,0,0,-0.18773,0.971619,0.14391900000000002
970,1.5289125128496325e+18,1,0,0,0,0.22970500000000002,0.9604860000000001,-0.157167
980,1.5289125130512044e+18,1,0,0,0,0.247698,0.9352219999999999,-0.252992
990,1.5289125132527762e+18,1,0,0,0,0.037118,0.959521,0.279179
