,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
0,1.528912493297164e+18,1,0,0,0,-16.169327,-37.826889,-17.247436999999998
10,1.528912493498736e+18,1,0,0,0,-16.437804999999994,-37.752518,-17.412079000000002
20,1.5289124937003077e+18,1,0,0,0,-14.251678,-38.397331,-18.245055999999998
30,1.5289124939018796e+18,1,0,0,0,-11.254897999999999,-37.385712,-22.41259800000001
40,1.5289124941034514e+18,1,0,0,0,-9.673096000000001,-36.192130999999996,-25.201263
50,1.5289124943050232e+18,1,0,0,0,-10.171204,-31.624268,-30.160003999999997
60,1.528912494506595e+18,1,0,0,0,-10.231064,-30.447451,-31.116455
70,1.528912494708167e+18,1,0,0,0,-6.751861999999999,-29.534212,-32.736298
80,1.5289124949097388e+18,1,0,0,0,-1.0632629999999998,-30.989603000000002,-31.97757
90,1.5289124951113106e+18,1,0,0,0,-2.778336,-26.848774,-34.91864
100,1.5289124953128824e+18,1,0,0,0,-4.813537999999999,-23.870796,-36.574493
110,1.5289124955144545e+18,1,0,0,0,-3.5312040000000002,-23.511882999999997,-37.455231
120,1.528912495716026e+18,1,0,0,0,2.0151369999999997,-19.367736999999998,-39.740111999999996
130,1.528912495917598e+18,1,0,0,0,0.437057,-22.076054,-38.483215
140,1.5289124961191698e+18,1,0,0,0,6.972275,-19.13475,-39.809784
150,1.5289124963207416e+18,1,0,0,0,4.959,-11.467377,-42.758635999999996
160,1.5289124965223137e+18,1,0,0,0,-3.259445,4.995087,-43.431702
170,1.5289124967238853e+18,1,0,0,0,0.255859,19.816051,-38.103485
180,1.5289124969254572e+18,1,0,0,0,6.5679929999999995,22.300724,-36.590607
190,1.528912497127029e+18,1,0,0,0,11.770386,8.676703999999999,-41.919585999999995
200,1.5289124973286008e+18,1,0,0,0,11.658005000000001,14.04031,-40.124664
210,1.528912497530173e+18,1,0,0,0,16.685532000000002,36.726383,-14.433014000000002
220,1.5289124977317445e+18,1,0,0,0,2.06543,42.290363,7.365234
230,1.5289124979333164e+18,1,0,0,0,10.366089,41.984852000000004,5.047485
240,1.5289124981348882e+18,1,0,0,0,25.241699,34.515278,-11.469635
250,1.52891249833646e+18,1,0,0,0,30.662125,29.078037,-15.332581
260,1.528912498538032e+18,1,0,0,0,29.730087,32.435032,-9.147308
270,1.5289124987396037e+18,1,0,0,0,21.4422,38.813145,8.32193
280,1.5289124989411756e+18,1,0,0,0,26.971588,34.754505,14.11319
290,1.5289124991427474e+18,1,0,0,0,39.088211,25.687168,4.866912999999999
300,1.5289124993443192e+18,1,0,0,0,39.713715,24.307545,-2.6778560000000002
310,1.528912499545891e+18,1,0,0,0,42.206146000000004,20.27467,2.4417419999999996
320,1.528912499747463e+18,1,0,0,0,39.833328,19.027294,18.703948999999998
330,1.5289124999490348e+18,1,0,0,0,39.816833,23.362705,10.916260000000001
340,1.5289125001506066e+18,1,0,0,0,41.81517,21.667377,0.624847
350,1.5289125003521784e+18,1,0,0,0,42.944107,11.999614999999999,-14.760834
360,1.5289125005537505e+18,1,0,0,0,41.454848999999996,7.385147,-20.546936
370,1.528912500755322e+18,1,0,0,0,39.8871,22.285999,-7.783661
380,1.528912500956894e+18,1,0,0,0,26.404358000000002,35.40587199999999,7.855835000000001
390,1.5289125011584658e+18,1,0,0,0,28.647339000000006,31.636512499999995,-3.7959134999999993
400,1.5289125013600376e+18,1,0,0,0,30.89032000000001,27.867153000000002,-15.447662
410,1.5289125015616097e+18,1,0,0,0,26.32212800000001,34.145527,-7.4880369999999985
420,1.5289125017631813e+18,1,0,0,0,18.871779999999998,39.411312,-0.560272
430,1.5289125019647532e+18,1,0,0,0,22.703445000000002,38.14835,0.338013
440,1.528912502166325e+18,1,0,0,0,12.322708,41.489596999999996,-2.641937
450,1.5289125023678968e+18,1,0,0,0,19.357742000000002,37.105465,-13.343658
460,1.528912502569469e+18,1,0,0,0,23.154648,35.997044,-9.440491
470,1.5289125027710405e+18,1,0,0,0,24.395966,36.779812,0.015717
480,1.5289125029726124e+18,1,0,0,0,19.616867000000006,38.983807,7.5858149999999975
490,1.5289125031741842e+18,1,0,0,0,20.873566,38.83818400000001,-2.524689
500,1.528912503375756e+18,1,0,0,0,25.71434,35.520626,-6.918303999999999
510,1.528912503577328e+18,1,0,0,0,28.498749,33.622166,-5.4234919999999995
