,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
0,1.528912493297164e+18,1,0,0,0,-0.366483,-0.49319799999999997,-0.24971500000000002
10,1.528912493498736e+18,1,0,0,0,-0.4349310000000001,0.097265,-0.163462
20,1.5289124937003077e+18,1,0,0,0,0.023873,-0.160209,-0.490595
30,1.5289124939018796e+18,1,0,0,0,-0.552178,0.216075,-0.351543
40,1.5289124941034514e+18,1,0,0,0,0.149498,0.4275600000000001,0.936895
50,1.5289124943050232e+18,1,0,0,0,-1.006282,0.142698,-0.186606
60,1.528912494506595e+18,1,0,0,0,0.028406999999999998,0.470729,-0.445892
70,1.528912494708167e+18,1,0,0,0,-0.449255,0.7728470000000001,-0.6440819999999999
80,1.5289124949097388e+18,1,0,0,0,-0.263765,0.6876,-0.004299
90,1.5289124951113106e+18,1,0,0,0,-0.436435,-0.244416,0.298925
100,1.5289124953128824e+18,1,0,0,0,-0.915617,-0.824543,-1.109791
110,1.5289124955144545e+18,1,0,0,0,-0.943001,1.5343579999999999,0.475099
120,1.528912495716026e+18,1,0,0,0,0.9652940000000001,-2.492416,1.000534
130,1.528912495917598e+18,1,0,0,0,-0.500919,2.935298,0.17210599999999998
140,1.5289124961191698e+18,1,0,0,0,-0.9276709999999999,0.753396,0.30554000000000003
150,1.5289124963207416e+18,1,0,0,0,-1.174126,-0.47437799999999997,0.654648
160,1.5289124965223137e+18,1,0,0,0,-1.568764,-1.2210729999999999,1.120896
170,1.5289124967238853e+18,1,0,0,0,-2.161172,0.7437189999999999,-1.20888
180,1.5289124969254572e+18,1,0,0,0,1.925745,3.441393,-0.124976
190,1.528912497127029e+18,1,0,0,0,-0.114273,-0.41538800000000003,-0.032678
200,1.5289124973286008e+18,1,0,0,0,-2.66505,-1.7981639999999999,1.779477
210,1.528912497530173e+18,1,0,0,0,-4.089678,-0.399091,-1.792914
220,1.5289124977317445e+18,1,0,0,0,1.574232,2.462048,0.8015439999999999
230,1.5289124979333164e+18,1,0,0,0,0.70335,-3.33891,1.743496
240,1.5289124981348882e+18,1,0,0,0,-0.322529,-2.142148,2.06756
250,1.52891249833646e+18,1,0,0,0,0.531474,0.54106,0.643741
260,1.528912498538032e+18,1,0,0,0,-2.946348,0.031438,-0.527464
270,1.5289124987396037e+18,1,0,0,0,-2.466709,0.37793000000000004,-1.815609
280,1.5289124989411756e+18,1,0,0,0,1.315097,2.576282,2.783845
290,1.5289124991427474e+18,1,0,0,0,-0.422667,-2.451823,1.4514690000000001
300,1.5289124993443192e+18,1,0,0,0,0.708252,-1.153351,0.4628600000000001
310,1.528912499545891e+18,1,0,0,0,-1.748077,1.781459,-0.052326
