,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,speed
0,1.528912493297164e+18,1,0,0,0,
10,1.528912493498736e+18,1,0,0,0,
20,1.5289124937003077e+18,1,0,0,0,
30,1.5289124939018796e+18,1,0,0,0,
40,1.5289124941034514e+18,1,0,0,0,
50,1.5289124943050232e+18,1,0,0,0,
60,1.528912494506595e+18,1,0,0,0,
70,1.528912494708167e+18,1,0,0,0,
80,1.5289124949097388e+18,1,0,0,0,
90,1.5289124951113106e+18,1,0,0,0,
100,1.5289124953128824e+18,1,0,0,0,
110,1.5289124955144545e+18,1,0,0,0,
120,1.528912495716026e+18,1,0,0,0,
130,1.528912495917598e+18,1,0,0,0,
140,1.5289124961191698e+18,1,0,0,0,
150,1.5289124963207416e+18,1,0,0,0,
160,1.5289124965223137e+18,1,0,0,0,
170,1.5289124967238853e+18,1,0,0,0,
180,1.5289124969254572e+18,1,0,0,0,
190,1.528912497127029e+18,1,0,0,0,
200,1.5289124973286008e+18,1,0,0,0,
210,1.528912497530173e+18,1,0,0,0,
220,1.5289124977317445e+18,1,0,0,0,
230,1.5289124979333164e+18,1,0,0,0,
240,1.5289124981348882e+18,1,0,0,0,
250,1.52891249833646e+18,1,0,0,0,
260,1.528912498538032e+18,1,0,0,0,
270,1.5289124987396037e+18,1,0,0,0,
280,1.5289124989411756e+18,1,0,0,0,
290,1.5289124991427474e+18,1,0,0,0,
300,1.5289124993443192e+18,1,0,0,0,
310,1.528912499545891e+18,1,0,0,0,
320,1.528912499747463e+18,1,0,0,0,
330,1.5289124999490348e+18,1,0,0,0,
340,1.5289125001506066e+18,1,0,0,0,
350,1.5289125003521784e+18,1,0,0,0,
360,1.5289125005537505e+18,1,0,0,0,
370,1.528912500755322e+18,1,0,0,0,
380,1.528912500956894e+18,1,0,0,0,
390,1.5289125011584658e+18,1,0,0,0,0.9955290000000001
400,1.5289125013600376e+18,1,0,0,0,1.0125474814814817
410,1.5289125015616097e+18,1,0,0,0,1.029565962962963
420,1.5289125017631813e+18,1,0,0,0,1.0465844444444445
430,1.5289125019647532e+18,1,0,0,0,1.063602925925926
440,1.528912502166325e+18,1,0,0,0,1.0806214074074074
450,1.5289125023678968e+18,1,0,0,0,1.097639888888889
460,1.528912502569469e+18,1,0,0,0,1.1146583703703705
470,1.5289125027710405e+18,1,0,0,0,1.1316768518518519
480,1.5289125029726124e+18,1,0,0,0,1.1486953333333334
490,1.5289125031741842e+18,1,0,0,0,1.165713814814815
500,1.528912503375756e+18,1,0,0,0,1.1827322962962963
510,1.528912503577328e+18,1,0,0,0,1.1997507777777778
520,1.5289125037788997e+18,1,0,0,0,1.2167692592592594
530,1.5289125039804716e+18,1,0,0,0,1.2337877407407407
540,1.5289125041820434e+18,1,0,0,0,1.2508062222222223
550,1.5289125043836152e+18,1,0,0,0,1.2678247037037038
560,1.528912504585187e+18,1,0,0,0,1.2848431851851854
570,1.528912504786759e+18,1,0,0,0,1.3018616666666667
580,1.5289125049883308e+18,1,0,0,0,1.3188801481481482
590,1.5289125051899026e+18,1,0,0,0,1.3358986296296296
600,1.5289125053914744e+18,1,0,0,0,1.3529171111111111
610,1.5289125055930465e+18,1,0,0,0,1.3699355925925927
620,1.528912505794618e+18,1,0,0,0,1.3869540740740742
630,1.52891250599619e+18,1,0,0,0,1.4039725555555556
640,1.5289125061977618e+18,1,0,0,0,1.420991037037037
650,1.5289125063993336e+18,1,0,0,0,1.4380095185185184
660,1.5289125066009057e+18,1,0,0,0,1.455028
670,1.5289125068024773e+18,1,0,0,0,1.4720464814814815
680,1.5289125070040492e+18,1,0,0,0,1.489064962962963
690,1.528912507205621e+18,1,0,0,0,1.5060834444444444
700,1.5289125074071928e+18,1,0,0,0,1.523101925925926
710,1.528912507608765e+18,1,0,0,0,1.5401204074074073
720,1.5289125078103365e+18,1,0,0,0,1.5571388888888889
730,1.5289125080119084e+18,1,0,0,0,1.5741573703703704
740,1.5289125082134802e+18,1,0,0,0,1.591175851851852
750,1.528912508415052e+18,1,0,0,0,1.6081943333333333
760,1.528912508616624e+18,1,0,0,0,1.6252128148148148
770,1.5289125088181957e+18,1,0,0,0,1.6422312962962962
780,1.5289125090197676e+18,1,0,0,0,1.6592497777777777
790,1.5289125092213394e+18,1,0,0,0,1.6762682592592593
800,1.5289125094229112e+18,1,0,0,0,1.6932867407407408
810,1.528912509624483e+18,1,0,0,0,1.7103052222222221
820,1.528912509826055e+18,1,0,0,0,1.7273237037037037
830,1.5289125100276268e+18,1,0,0,0,1.744342185185185
840,1.5289125102291986e+18,1,0,0,0,1.7613606666666666
850,1.5289125104307704e+18,1,0,0,0,1.7783791481481481
860,1.5289125106323425e+18,1,0,0,0,1.7953976296296297
870,1.528912510833914e+18,1,0,0,0,1.812416111111111
880,1.528912511035486e+18,1,0,0,0,1.8294345925925926
890,1.5289125112370578e+18,1,0,0,0,1.8464530740740739
900,1.5289125114386296e+18,1,0,0,0,1.8634715555555554
910,1.5289125116402017e+18,1,0,0,0,1.880490037037037
920,1.5289125118417733e+18,1,0,0,0,1.8975085185185185
930,1.5289125120433452e+18,1,0,0,0,1.914527
940,1.528912512244917e+18,1,0,0,0,1.9315454814814814
950,1.5289125124464888e+18,1,0,0,0,1.9485639629629627
960,1.528912512648061e+18,1,0,0,0,1.9655824444444443
970,1.5289125128496325e+18,1,0,0,0,1.9826009259259258
980,1.5289125130512044e+18,1,0,0,0,1.9996194074074074
990,1.5289125132527762e+18,1,0,0,0,2.016637888888889
1000,1.528912513454348e+18,1,0,0,0,2.0336563703703705
