,timestamp,activity,x,y,z
0,5.89,0,9.59377,-0.0394837,-2.696
1,5.99,0,9.59349,-0.305585,-2.65576
2,6.09,0,9.48291,-0.191289,-2.61901
3,6.19,0,9.44108,-0.189767,-2.77381
4,6.29,0,9.81503,-0.0399427,-2.8095
5,6.39,0,9.51663,-0.2665,-2.73397
6,6.49,0,9.44559,-0.381216,-2.57963
7,6.59,0,9.55056,-0.303742,-2.84916
8,6.69,0,9.4778,-0.113746,-2.8125
9,6.79,0,9.51503,-0.151952,-2.81188
10,6.89,0,9.55776,-0.191763,-2.61824
11,6.99,0,9.70235,-0.115169,-2.81018
12,7.09,0,9.66874,-0.230122,-2.65546
13,7.19,0,9.55375,-0.114541,-2.77312
14,7.29,0,9.51872,-0.07697810000000001,-2.69654
15,7.39,0,9.55225,-0.190157,-2.81126
16,7.49,0,9.4798,-0.152357,-2.73506
17,7.59,0,9.54986,-0.227483,-2.88823
18,7.69,0,9.66913,-0.154185,-2.65592
19,7.79,0,9.66654,-0.22948,-2.73266
20,7.89,0,9.58968,-0.190394,-2.81087
21,7.99,0,9.55285,-0.0762515,-2.81196
22,8.09,0,9.74728,-0.155623,-2.53935
23,8.19,0,9.36854,-0.3801,-2.6576
24,8.29,0,9.55575,-0.153152,-2.69568
25,8.39,0,9.59188,-0.191037,-2.73367
26,8.49,0,9.52403,-0.116553,-2.50329
27,8.59,0,9.70235,-0.115169,-2.81018
28,8.69,0,9.66403,-0.0766416,-2.84941
29,8.79,0,9.63162,-0.382081,-2.61631
30,8.89,0,9.59829,-0.230933,-2.50182
31,8.99,0,9.62801,-0.228921,-2.77165
32,9.09,0,9.4752,-0.189041,-2.88923
33,9.19,0,9.55096,-0.227805,-2.84963
34,9.29,0,9.55265,-0.11422,-2.81173
35,9.39,0,9.51703,-0.190563,-2.73444
36,9.49,0,9.48211,-0.343164,-2.61808
37,9.59,0,9.67122,0.035336800000000015,-2.61849
38,9.69,0,9.54884,0.000970582,-2.9668400000000004
39,9.79,0,9.58968,-0.190394,-2.81087
40,9.89,0,9.47481,-0.26497800000000005,-2.88877
41,9.99,0,9.59098,-0.152747,-2.7725
42,10.09,0,9.59138,-0.07680989999999999,-2.77297
43,10.19,0,9.47481,-0.26497800000000005,-2.88877
44,10.29,0,9.59217,0.07506449999999999,-2.77391
45,10.39,0,9.59298,-0.191358,-2.69506
46,10.49,0,9.59428,-0.153711,-2.65669
47,10.59,0,9.59058,-0.22868400000000005,-2.77204
48,10.69,0,9.66783,-0.191832,-2.69429
49,10.79,0,9.59188,-0.191037,-2.73367
50,10.89,0,9.59168,-0.229005,-2.73343
51,10.99,0,9.51743,-0.114625,-2.73491
52,11.09,0,9.59289,-0.419491,-2.65506
53,11.19,0,9.63041,-0.191595,-2.69468
54,11.29,0,9.55866,-0.230053,-2.57941
55,11.39,0,9.66163,-0.113968,-2.92638
56,11.49,0,9.51404,-0.341795,-2.81071
57,11.59,0,9.59298,-0.191358,-2.69506
58,11.69,0,9.58598,-0.265368,-2.92621
59,11.79,0,9.51443,-0.265857,-2.81118
60,11.89,0,9.74198,-0.116048,-2.73259
61,11.99,0,9.4763,-0.189362,-2.85063
62,12.09,0,9.59468,-0.0777735,-2.65716
63,12.19,0,9.6301,-0.0393996,-2.73422
64,12.29,0,9.66563,-0.19119,-2.7715
65,12.39,0,9.55245,-0.15218900000000002,-2.81149
66,12.49,0,9.51173,-0.150988,-2.92769
67,12.59,0,9.70495,-0.039873800000000015,-2.73345
68,12.69,0,9.58587,-0.0752037,-2.96599
69,12.79,0,9.4785,-0.190004,-2.77343
70,12.89,0,9.62479,0.00017513900000000002,-2.92746
71,12.99,0,9.66363,-0.152579,-2.84894
72,13.09,0,9.63171,-0.153948,-2.65631
73,13.19,0,9.59118,-0.114778,-2.77274
74,13.29,0,9.58968,-0.190394,-2.81087
75,13.39,0,9.633,-0.1163,-2.61794
76,13.49,0,9.58858,-0.190073,-2.84948
77,13.59,0,9.51802,-0.000719685,-2.73561
78,13.69,0,9.44068,-0.265704,-2.77334
79,13.79,0,9.59259,-0.267295,-2.6946
80,13.89,0,9.69815,-0.075915,-2.96483
81,13.99,0,9.66834,-0.306059,-2.65499
82,14.09,0,9.59239,-0.305264,-2.69436
83,14.19,0,9.44108,-0.189767,-2.77381
84,14.29,0,9.55767,-0.419896,-2.57824
85,14.39,0,9.62711,-0.190632,-2.81049
86,14.49,0,9.55516,-0.267058,-2.69498
87,14.59,0,9.55606,-0.305348,-2.65615
88,14.69,0,9.59518,-0.192001,-2.61786
89,14.79,0,9.59738,-0.192643,-2.54065
90,14.89,0,9.63171,-0.153948,-2.65631
91,14.99,0,9.71096,-0.15570699999999998,-2.50113
92,15.09,0,9.66673,-0.191511,-2.7329
93,15.19,0,9.66574,-0.381354,-2.73173
94,15.29,0,9.55355,-0.15250999999999998,-2.7728900000000003
95,15.39,0,9.52013,-0.229495,-2.6184
96,15.49,0,9.66834,-0.306059,-2.65499
97,15.59,0,9.55646,-0.229411,-2.65661
98,15.69,0,9.51573,-0.22821,-2.77281
99,15.79,0,9.55115,-0.189836,-2.84986
100,15.89,0,9.74128,-0.0397897,-2.77166
101,15.99,0,9.4802,-0.0764198,-2.73552
102,16.09,0,9.67043,-0.11653800000000003,-2.61756
103,16.19,0,9.51773,-0.26682100000000003,-2.69537
104,16.29,0,9.70766,-0.15474300000000002,-2.61694
105,16.39,0,9.58988,-0.152426,-2.81111
106,16.49,0,9.6277,-0.0767257,-2.8111900000000003
107,16.59,0,9.52073,-0.115589,-2.6191
108,16.69,0,9.66843,-0.0779265,-2.69499
109,16.79,0,9.59369,-0.267616,-2.65599
110,16.89,0,9.59058,-0.22868400000000005,-2.77204
111,16.99,0,9.70145,-0.0768787,-2.84902
112,17.09,0,9.55245,-0.15218900000000002,-2.81149
113,17.19,0,9.48381,-0.229579,-2.58018
114,17.29,0,9.51683,-0.228531,-2.7342
115,17.39,0,9.55245,-0.15218900000000002,-2.81149
116,17.49,0,9.66984,-0.230443,-2.61685
117,17.59,0,9.50984,-0.302541,-2.96535
118,17.69,0,9.43908,-0.15115599999999998,-2.85125
119,17.79,0,9.55756,-0.229732,-2.61801
120,17.89,0,9.47501,-0.227009,-2.889
121,17.99,0,9.65993,-0.227552,-2.96428
122,18.09,0,9.55696,-0.343638,-2.61731
123,18.19,0,9.4842,-0.153642,-2.58065
124,18.29,0,9.66933,-0.116216,-2.65616
125,18.39,0,9.59558,-0.116063,-2.61833
126,18.49,0,9.51762,-0.0766569,-2.7351400000000003
127,18.59,0,9.55505,-0.076894,-2.73475
128,18.69,0,9.66623,-0.0772841,-2.7722
129,18.79,0,9.51283,-0.151309,-2.88908
130,18.89,0,9.62451,-0.265926,-2.88723
131,18.99,0,9.44088,-0.227736,-2.77358
132,19.09,0,9.59278,-0.229327,-2.69483
133,19.19,0,9.55575,-0.153152,-2.69568
134,19.29,0,9.55575,-0.153152,-2.69568
135,19.39,0,9.51492,0.0382126,-2.85165
136,19.49,0,9.59338,-0.115421,-2.69553
137,19.59,0,9.62601,-0.19031,-2.8490900000000003
138,19.69,0,9.43778,-0.188804,-2.88962
139,19.79,0,9.4774,-0.189683,-2.81203
140,19.89,0,9.44607,-0.0771463,-2.6201
141,19.99,0,9.51232,-0.0370821,-2.9283900000000003
142,20.09,0,9.67153,-0.116859,-2.57895
143,20.19,0,9.6286,-0.115016,-2.77235
