,timestamp,activity,x,y,z
0,5.89,0,-35.455,38.3829,-17.9083
1,5.99,0,-35.8488,39.0471,-17.6268
2,6.09,0,-35.5746,38.0026,-17.9083
3,6.19,0,-35.0718,38.3638,-17.9069
4,6.29,0,-35.7148,38.5241,-18.0512
5,6.39,0,-35.982,38.7933,-18.6198
6,6.49,0,-35.5715,38.0033,-17.6246
7,6.59,0,-35.5828,38.3892,-17.9088
8,6.69,0,-35.4664,38.7688,-18.1925
9,6.79,0,-35.7027,38.3973,-17.2
10,6.89,0,-36.1007,38.6721,-18.0527
11,6.99,0,-35.5824,39.0367,-16.633
12,7.09,0,-35.9461,37.7653,-17.342
13,7.19,0,-35.4422,37.9973,-17.4823
14,7.29,0,-35.0582,38.2373,-16.9139
15,7.39,0,-35.3258,38.3768,-17.766
16,7.49,0,-35.8441,39.0481,-17.2013
17,7.59,0,-35.7203,38.7819,-18.0515
18,7.69,0,-35.7168,38.9122,-17.4843
19,7.79,0,-35.0909,39.2659,-17.908
20,7.89,0,-35.2011,38.3698,-18.0492
21,7.99,0,-35.7039,38.0086,-18.0506
22,8.09,0,-35.4523,38.254,-17.9081
23,8.19,0,-35.0734,38.3634,-18.0488
24,8.29,0,-35.3211,37.86,-18.3327
25,8.39,0,-35.7074,38.3963,-17.6255
26,8.49,0,-35.2054,38.4983,-18.1912
27,8.59,0,-35.7117,38.5248,-17.7675
28,8.69,0,-35.9621,38.1502,-18.0516
29,8.79,0,-35.3265,38.1177,-18.333
30,8.89,0,-35.8523,38.9168,-18.194000000000006
31,8.99,0,-35.9699,38.6665,-17.7686
32,9.09,0,-35.7101,38.5252,-17.6257
33,9.19,0,-35.8499,38.6584,-18.4773
34,9.29,0,-36.0746,37.5126,-17.9095
35,9.39,0,-35.4453,37.9966,-17.766
36,9.49,0,-35.9613,38.4094,-17.4846
37,9.59,0,-35.7187,38.7823,-17.9097
38,9.69,0,-35.5762,38.0023,-18.0501
39,9.79,0,-35.3215,38.2483,-17.624000000000006
40,9.89,0,-35.0761,38.4923,-18.0489
41,9.99,0,-35.3281,38.1174,-18.4749
42,10.09,0,-35.7179,38.5235,-18.3349
43,10.19,0,-35.2089,38.886,-17.7662
44,10.29,0,-35.2113,38.6265,-18.4751
45,10.39,0,-35.1887,37.8546,-17.9067
46,10.49,0,-35.4387,37.6096,-17.9073
47,10.59,0,-35.3511,39.2776,-18.3345
48,10.69,0,-35.7203,38.7819,-18.0515
49,10.79,0,-35.8195,37.8882,-17.1998
50,10.89,0,-34.9566,38.8726,-18.0489
51,10.99,0,-35.0551,37.72,-17.6225
52,11.09,0,-35.5855,38.5181,-17.9089
53,11.19,0,-35.5843,38.3889,-18.0506
54,11.29,0,-35.4683,39.1568,-17.6256
55,11.39,0,-35.3191,37.9899,-17.9074
56,11.49,0,-35.4804,39.2837,-18.4768
57,11.59,0,-34.8098,37.964,-18.0474
58,11.69,0,-34.5555,38.0805,-17.9048
59,11.79,0,-35.7105,38.3956,-17.9092
60,11.89,0,-35.0793,38.4916,-18.3326
61,11.99,0,-35.8453,38.6594,-18.0518
62,12.09,0,-35.5688,37.8744,-17.6244
63,12.19,0,-35.1926,38.1127,-17.7652
64,12.29,0,-35.8297,38.1449,-17.6257
65,12.39,0,-35.5797,38.3899,-17.6251
66,12.49,0,-35.5859,38.3886,-18.1924
67,12.59,0,-34.9566,38.8726,-18.0489
68,12.69,0,-35.5898,38.6467,-18.0509
69,12.79,0,-35.3468,39.1491,-18.1925
70,12.89,0,-35.7093,38.7843,-17.0587
71,12.99,0,-35.5808,38.5191,-17.4834
72,13.09,0,-35.0594,37.8486,-17.7645
73,13.19,0,-35.3246,38.2476,-17.9077
74,13.29,0,-35.4476,38.255,-17.4826
75,13.39,0,-35.4453,37.9966,-17.766
76,13.49,0,-35.0672,38.3648,-17.4814
77,13.59,0,-35.8258,37.8868,-17.7672
78,13.69,0,-35.5758,38.1318,-17.7666
79,13.79,0,-35.2245,39.4005,-18.1923
