timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1528191366.629259,0.222282,0.414978,3.029861,0.081549,0.027636,-0.031894,0.201745,-0.403170,-0.892610,-0.009743,-0.008558,0.022951,-7.865158,-20.561232,-44.534790,,,,,,,
,,,,,,,,,,,,,,,,52.333474,4.864636,-0.879812,-1.000000,-1.000000,1528191218.050151,
,,,,,,,,,,,,,,,,52.333474,4.864636,-0.879812,-1.000000,-1.000000,1528191227.050151,
1528191366.649412,0.223803,0.415335,3.028903,-0.016314,0.054068,-0.040563,0.203071,-0.403496,-0.892162,-0.014365,-0.014244,0.033184,-7.769333,-20.615820,-44.690002,,,,,,,
,,,,,,,,,,,,,,,,52.336613,4.866737,-0.879812,-1.000000,-1.000000,1528191366.646678,
1528191366.669565,0.224085,0.413358,3.028554,-0.127022,-0.025182,-0.037478,0.203498,-0.401687,-0.892881,-0.004219,-0.010361,0.021634,-7.822998,-20.817045,-44.775787,,,,,,,
,,,,,,,,,,,,,,,,52.336809,4.866868,-0.879812,-1.000000,-1.000000,1528191366.651943,
1528191366.689717,0.223504,0.410418,3.028388,-0.140778,-0.027395,-0.041772,0.203241,-0.398992,-0.894147,0.000586,0.000616,0.015378,-7.902573,-20.467800,-44.635895,,,,,,,
1528191366.709870,0.223724,0.407371,3.028067,-0.152921,0.024273,-0.048201,0.203706,-0.396197,-0.895283,-0.000948,0.006350,0.001637,-7.861557,-20.453857,-44.870087,,,,,,,
1528191366.730023,0.223929,0.404199,3.028029,-0.145289,-0.003791,-0.028969,0.204168,-0.393283,-0.896462,0.020060,0.012195,-0.027244,-7.704575,-20.316114,-44.897980,,,,,,,
1528191366.750176,0.224038,0.402342,3.028132,-0.054352,0.024612,-0.008572,0.204427,-0.391574,-0.897151,0.022196,0.016803,-0.037496,-7.881668,-20.207708,-44.957489,,,,,,,
1528191366.770329,0.225175,0.402724,3.028183,0.052362,0.065984,0.019311,0.205414,-0.391926,-0.896772,0.020477,0.017139,-0.035311,-7.780777,-20.509102,-45.289825,,,,,,,
1528191366.790481,0.226002,0.405085,3.028546,0.142702,0.040445,0.054659,0.205947,-0.394097,-0.895697,0.015702,0.009484,-0.024133,-7.707626,-20.383698,-44.759644,,,,,,,
1528191366.810634,0.226202,0.408829,3.029048,0.193885,0.009410,0.070745,0.205794,-0.397535,-0.894211,0.004731,0.005705,-0.008804,-7.899841,-20.432749,-44.782043,,,,,,,
1528191366.830787,0.226155,0.413229,3.029588,0.211929,0.009525,0.068638,0.205359,-0.401569,-0.892508,-0.007773,-0.001446,0.014288,-7.549896,-20.396881,-44.718781,,,,,,,
1528191366.850940,0.226147,0.417050,3.029626,0.164507,-0.012066,0.028011,0.205006,-0.405065,-0.891008,-0.012074,-0.004557,0.025941,-7.843338,-20.557598,-44.646973,,,,,,,
1528191366.871093,0.225709,0.419397,3.029385,0.089377,-0.029628,0.010835,0.204402,-0.407210,-0.890169,-0.005870,-0.007478,0.030351,-7.677887,-20.738689,-44.567902,,,,,,,
1528191366.891245,0.225145,0.420314,3.029276,0.020423,-0.032126,0.005421,0.203817,-0.408047,-0.889919,-0.008306,-0.002033,0.023785,-7.955643,-20.939867,-44.544250,,,,,,,
1528191366.911398,0.224198,0.420101,3.029476,-0.028261,-0.046408,0.006423,0.202993,-0.407853,-0.890197,-0.004873,-0.003631,0.005797,-7.856262,-20.914240,-44.501587,,,,,,,
1528191366.931551,0.223418,0.419676,3.029600,-0.007195,-0.025780,-0.003167,0.202336,-0.407465,-0.890524,-0.008657,0.001001,-0.010538,-7.915451,-20.944746,-44.686432,,,,,,,
1528191366.951704,0.223218,0.420535,3.029330,0.074378,-0.011351,0.001202,0.202081,-0.408249,-0.890222,0.001151,0.003266,-0.017935,-7.691315,-20.840511,-44.652588,,,,,,,
1528191366.971857,0.222834,0.422631,3.028951,0.119125,-0.032679,0.008743,0.201550,-0.410161,-0.889464,0.002826,0.006108,-0.015978,-7.850815,-21.078403,-44.551025,,,,,,,
1528191366.992009,0.222395,0.425219,3.028722,0.127524,-0.027314,0.021564,0.200924,-0.412520,-0.888514,0.009906,0.005782,-0.011251,-7.788010,-21.072437,-44.444550,,,,,,,
1528191367.012162,0.222142,0.427987,3.028796,0.138805,0.008195,0.039719,0.200447,-0.415040,-0.887447,0.001167,0.003663,0.002727,-7.594177,-21.177282,-44.304932,,,,,,,
1528191367.032315,0.222491,0.431055,3.028965,0.149241,0.026549,0.041860,0.200475,-0.417829,-0.886131,-0.003774,-0.000292,0.007774,-7.563538,-21.185457,-44.260956,,,,,,,
1528191367.052468,0.222801,0.433546,3.028786,0.099756,-0.002609,0.004437,0.200519,-0.420091,-0.885051,-0.006763,-0.004072,0.006725,-7.632019,-21.563084,-44.256500,,,,,,,
,,,,,,,,,,,,,,,,52.333565,4.864727,-0.588045,-1.000000,-1.000000,1528191367.013601,
1528191367.072621,0.222752,0.434686,3.028110,0.043748,-0.020012,-0.021246,0.200370,-0.421126,-0.884593,0.001458,-0.000520,0.003993,-7.774033,-21.541979,-44.297089,,,,,,,
1528191367.092773,0.222732,0.435580,3.027857,0.055106,0.002483,0.012919,0.200269,-0.421936,-0.884230,0.001513,0.008438,0.000349,-7.717377,-21.530762,-44.243103,,,,,,,
1528191367.112926,0.222676,0.437332,3.028205,0.095345,0.000390,0.045007,0.200056,-0.423524,-0.883518,0.006945,0.006166,0.002430,-8.035385,-21.529781,-43.943268,,,,,,,
1528191367.133079,0.222361,0.439315,3.028646,0.080581,-0.005012,0.032175,0.199592,-0.425320,-0.882761,-0.002738,0.003780,0.016351,-7.922867,-21.502893,-44.042023,,,,,,,
1528191367.153232,0.222170,0.440186,3.028787,0.014947,-0.014951,0.009674,0.199342,-0.426108,-0.882437,0.002090,-0.004266,0.015341,-7.862259,-21.671923,-43.951782,,,,,,,
1528191367.173385,0.221457,0.440001,3.029023,-0.014592,-0.033419,0.008572,0.198730,-0.425941,-0.882656,-0.002060,-0.001641,0.004054,-7.948883,-21.828316,-44.058319,,,,,,,
1528191367.193537,0.220852,0.439949,3.029283,0.003340,-0.022560,0.010729,0.198200,-0.425894,-0.882797,-0.002460,0.000723,-0.004898,-7.811737,-21.720303,-43.878998,,,,,,,
1528191367.213690,0.220595,0.440278,3.029462,0.016955,-0.004174,0.011817,0.197943,-0.426191,-0.882711,-0.004003,0.002546,-0.003351,-7.967697,-21.715313,-43.921509,,,,,,,
1528191367.233843,0.220574,0.440568,3.029589,0.008427,0.001169,0.009662,0.197897,-0.426453,-0.882595,-0.001456,0.000245,-0.001453,-7.909668,-21.658381,-44.138428,,,,,,,
1528191367.253996,0.220639,0.440811,3.029725,0.010496,0.005474,0.012870,0.197932,-0.426673,-0.882481,0.000844,-0.000360,0.002782,-7.641037,-21.882561,-43.975922,,,,,,,
1528191367.274149,0.220352,0.441275,3.030056,0.027619,-0.012793,0.022502,0.197635,-0.427093,-0.882344,0.001278,0.001587,-0.001475,-7.845688,-21.702291,-44.085449,,,,,,,
1528191367.294301,0.219925,0.442128,3.030369,0.041435,-0.014870,0.022521,0.197179,-0.427864,-0.882073,0.003245,0.004585,0.003182,-7.807312,-21.764643,-44.348511,,,,,,,
1528191367.314454,0.219530,0.442888,3.030647,0.026540,-0.010638,0.021434,0.196760,-0.428551,-0.881833,0.003496,0.005348,0.008161,-7.807388,-21.996538,-44.156158,,,,,,,
1528191367.334607,0.219174,0.443136,3.031115,-0.003272,-0.001122,0.023528,0.196423,-0.428774,-0.881800,-0.001461,0.003420,0.004297,-7.877121,-21.970266,-43.960449,,,,,,,
1528191367.354760,0.219043,0.442876,3.031808,-0.026742,0.009477,0.030966,0.196332,-0.428540,-0.881934,0.000720,-0.001621,0.002433,-7.759476,-22.105873,-44.223053,,,,,,,
1528191367.374912,0.218953,0.442407,3.032664,-0.028955,0.018081,0.032036,0.196296,-0.428116,-0.882148,-0.002768,-0.002258,0.000800,-7.763123,-22.041950,-44.286102,,,,,,,
1528191367.395065,0.219151,0.441998,3.033288,-0.022562,0.020342,0.018163,0.196509,-0.427747,-0.882280,-0.002539,-0.003619,0.004182,-7.492340,-22.043161,-44.053162,,,,,,,
1528191367.415218,0.219007,0.441791,3.033663,-0.007402,-0.009706,0.012848,0.196401,-0.427559,-0.882394,0.002528,-0.002113,0.005563,-7.828491,-22.106123,-44.123566,,,,,,,
1528191367.435371,0.218082,0.441928,3.034092,0.007857,-0.057084,0.026758,0.195572,-0.427683,-0.882518,0.007034,0.002589,-0.001210,-7.639206,-22.114061,-44.506653,,,,,,,
1528191367.455524,0.216792,0.442605,3.034583,0.039484,-0.036463,0.031069,0.194371,-0.428295,-0.882487,-0.002599,0.004757,0.000056,-7.679047,-21.928301,-44.169342,,,,,,,
1528191367.475676,0.216372,0.443584,3.034869,0.042425,-0.005136,0.016116,0.193910,-0.429180,-0.882159,-0.006410,0.002941,-0.009397,-7.574631,-21.824854,-44.183441,,,,,,,
1528191367.495829,0.216227,0.444374,3.034965,0.037132,-0.005153,0.012902,0.193709,-0.429893,-0.881855,-0.000045,-0.000832,-0.009655,-7.551727,-21.995985,-44.233246,,,,,,,
1528191367.515982,0.216217,0.445199,3.035109,0.042269,0.011004,0.018244,0.193624,-0.430638,-0.881510,0.001307,0.000981,-0.000280,-7.710907,-22.029156,-44.138519,,,,,,,
1528191367.536135,0.216168,0.446270,3.035513,0.047615,0.001256,0.034267,0.193482,-0.431604,-0.881069,-0.003449,-0.000907,0.001995,-7.877151,-22.113741,-44.065094,,,,,,,
1528191367.556288,0.215886,0.447215,3.035960,0.040280,-0.005180,0.022521,0.193146,-0.432456,-0.880725,-0.006592,0.000205,0.002582,-7.538986,-22.073364,-44.149475,,,,,,,
1528191367.576440,0.215805,0.448005,3.035990,0.038199,-0.001861,0.002224,0.193002,-0.433168,-0.880406,-0.005440,-0.000746,0.006047,-7.701813,-21.972906,-44.115540,,,,,,,
1528191367.596593,0.215757,0.448723,3.035794,0.030912,-0.015876,-0.002047,0.192893,-0.433815,-0.880112,0.001000,0.000450,0.002762,-7.816208,-22.123436,-44.005951,,,,,,,
1528191367.616746,0.215211,0.449268,3.035682,0.026788,-0.031012,0.004356,0.192361,-0.434306,-0.879986,0.004859,0.001338,-0.001057,-8.038223,-22.030935,-43.955811,,,,,,,
1528191367.636899,0.214967,0.450071,3.035818,0.045472,0.007784,0.020389,0.192072,-0.435029,-0.879692,0.002188,0.002412,-0.000588,-7.743408,-22.016317,-43.993408,,,,,,,
1528191367.657051,0.214841,0.451229,3.036146,0.057309,-0.012666,0.030015,0.191854,-0.436072,-0.879223,0.002634,0.005331,-0.007892,-7.659241,-22.099720,-44.004761,,,,,,,
1528191367.677204,0.214285,0.452553,3.036527,0.064792,-0.018005,0.028957,0.191242,-0.437263,-0.878765,-0.001819,0.001182,0.004116,-7.683975,-22.279484,-43.996887,,,,,,,
1528191367.697357,0.213741,0.453936,3.036649,0.070231,-0.026507,0.012952,0.190636,-0.438506,-0.878277,-0.007698,-0.000611,0.000088,-7.999100,-22.238476,-43.864685,,,,,,,
1528191367.717510,0.213465,0.455439,3.036426,0.079702,-0.014557,0.003352,0.190253,-0.439857,-0.877684,-0.005667,-0.002190,-0.000520,-7.551620,-22.591570,-44.140991,,,,,,,
1528191367.737663,0.213159,0.456982,3.036140,0.074425,-0.018910,0.006551,0.189841,-0.441242,-0.877078,-0.003180,-0.002194,-0.001355,-7.760468,-22.414843,-43.901184,,,,,,,
1528191367.757815,0.213009,0.458114,3.035999,0.044530,-0.000777,0.008644,0.189604,-0.442258,-0.876618,-0.001585,-0.002094,0.004349,-7.953995,-22.459394,-43.766541,,,,,,,
1528191367.777968,0.213278,0.458669,3.036137,0.017740,0.025988,0.010738,0.189788,-0.442755,-0.876327,-0.005324,0.000189,0.008636,-7.861877,-22.569950,-43.968811,,,,,,,
1528191367.798121,0.213767,0.458954,3.036226,0.011437,0.021685,0.003258,0.190189,-0.443011,-0.876110,-0.001484,-0.003431,0.008114,-8.024734,-22.582993,-43.640564,,,,,,,
1528191367.818274,0.213787,0.459282,3.036016,0.023499,-0.013709,-0.012736,0.190176,-0.443304,-0.875965,0.002527,0.000738,0.001285,-7.938828,-22.871056,-43.859436,,,,,,,
1528191367.838427,0.213777,0.459751,3.035451,0.025622,-0.011501,-0.020203,0.190123,-0.443725,-0.875763,-0.001723,0.004272,-0.000366,-7.887589,-22.776049,-43.574249,,,,,,,
1528191367.858579,0.213935,0.459954,3.035066,0.002040,0.009850,-0.009566,0.190242,-0.443907,-0.875645,0.001256,0.000563,0.000172,-7.916779,-22.432251,-43.936707,,,,,,,
1528191367.878732,0.214148,0.459814,3.035253,-0.015025,0.010718,0.012837,0.190442,-0.443781,-0.875665,0.002963,0.000849,0.002252,-7.837250,-22.512634,-43.769531,,,,,,,
1528191367.898885,0.214062,0.459822,3.035682,0.008336,0.006485,0.022471,0.190366,-0.443788,-0.875678,0.002535,0.002458,0.001716,-8.135849,-22.603966,-43.820618,,,,,,,
1528191367.919038,0.214178,0.460440,3.035819,0.034958,0.002410,0.006494,0.190409,-0.444342,-0.875388,0.000142,0.003485,-0.000253,-7.933075,-22.598776,-43.604462,,,,,,,
1528191367.939190,0.213803,0.461231,3.035571,0.041682,-0.031960,-0.004164,0.190006,-0.445051,-0.875115,0.004894,0.004133,0.002893,-7.588074,-22.590820,-43.701904,,,,,,,
1528191367.959343,0.213464,0.461792,3.035593,0.014807,-0.002054,0.015010,0.189657,-0.445553,-0.874936,0.005458,0.002789,0.014279,-7.765488,-22.602390,-43.758820,,,,,,,
1528191367.979496,0.213348,0.461677,3.036075,-0.026690,0.006296,0.022432,0.189566,-0.445450,-0.875008,-0.001928,-0.002014,0.004708,-7.894104,-22.598312,-43.795898,,,,,,,
1528191367.999649,0.212969,0.461159,3.036694,-0.021190,-0.011951,0.016036,0.189284,-0.444987,-0.875305,-0.005018,-0.002249,-0.007309,-8.133514,-22.454596,-43.593994,,,,,,,
1528191368.019802,0.212717,0.461566,3.036750,0.047801,-0.007184,0.001174,0.189025,-0.445351,-0.875175,-0.004546,-0.000984,-0.007195,-7.886154,-22.569937,-43.716888,,,,,,,
1528191368.039954,0.212571,0.462993,3.036328,0.080916,-0.028519,-0.003050,0.188762,-0.446628,-0.874581,-0.001949,0.001697,-0.005164,-7.913559,-22.548931,-43.472992,,,,,,,
1528191368.060107,0.212091,0.464427,3.036063,0.057472,-0.022241,0.007598,0.188207,-0.447911,-0.874045,-0.004018,0.003987,0.011252,-7.746796,-22.598019,-43.674622,,,,,,,
1528191368.080260,0.212296,0.464596,3.036055,-0.027895,0.030113,-0.002130,0.188370,-0.448062,-0.873932,-0.009431,-0.001080,0.021362,-8.130249,-22.611061,-43.600159,,,,,,,
1528191368.100413,0.212855,0.463040,3.036354,-0.099001,0.029731,-0.003281,0.189006,-0.446670,-0.874507,-0.003124,-0.003663,0.004283,-7.987061,-22.608252,-43.463318,,,,,,,
1528191368.120565,0.213094,0.461504,3.036726,-0.049055,0.021350,0.003181,0.189360,-0.445295,-0.875131,0.004061,-0.001406,-0.012076,-7.875488,-22.730761,-43.624329,,,,,,,
1528191368.140718,0.213513,0.461809,3.036832,0.048669,0.010004,0.010781,0.189698,-0.445568,-0.874919,0.007659,0.001827,-0.014745,-7.759445,-22.581987,-43.596863,,,,,,,
1528191368.160871,0.212851,0.463534,3.036819,0.097964,-0.043629,0.020462,0.188956,-0.447112,-0.874292,0.004190,0.001937,-0.006552,-7.735809,-22.554117,-43.463562,,,,,,,
1528191368.181024,0.212568,0.465406,3.036584,0.081693,-0.000553,0.004416,0.188532,-0.448786,-0.873526,-0.003886,0.004556,0.004599,-7.817780,-22.718002,-43.518066,,,,,,,
1528191368.201177,0.212749,0.466433,3.036419,0.032850,0.001326,0.005422,0.188592,-0.449704,-0.873040,-0.002587,0.001889,0.007592,-7.848068,-22.637970,-43.366791,,,,,,,
1528191368.221329,0.212585,0.466687,3.036481,0.004211,-0.000990,0.006456,0.188425,-0.449930,-0.872960,0.001166,-0.004003,0.007390,-7.951050,-22.836809,-43.370270,,,,,,,
1528191368.241482,0.212801,0.466703,3.036557,-0.002277,0.012991,0.003241,0.188612,-0.449945,-0.872912,-0.003279,-0.002707,0.005633,-8.040878,-22.737537,-43.559143,,,,,,,
1528191368.261635,0.212723,0.466661,3.036545,0.000132,-0.014967,-0.003158,0.188548,-0.449907,-0.872945,-0.005717,-0.002883,-0.001658,-8.034515,-23.057730,-43.639526,,,,,,,
1528191368.281788,0.212363,0.466946,3.036335,0.027884,-0.030959,-0.005255,0.188207,-0.450161,-0.872888,-0.000692,0.002682,-0.007315,-8.323883,-22.871338,-43.424377,,,,,,,
1528191368.301941,0.211761,0.468222,3.035949,0.089458,-0.034943,-0.000899,0.187561,-0.451300,-0.872439,0.001480,0.004233,-0.007383,-8.050446,-22.943430,-43.432007,,,,,,,
1528191368.322093,0.211603,0.470159,3.035357,0.093472,-0.007963,-0.007308,0.187239,-0.453028,-0.871612,-0.000197,0.002115,-0.004319,-8.271622,-23.001493,-43.538483,,,,,,,
1528191368.342246,0.212153,0.471402,3.034960,0.039995,0.032626,0.001158,0.187600,-0.454136,-0.870958,0.001258,-0.000485,0.007524,-8.106506,-22.962856,-43.555908,,,,,,,
1528191368.362399,0.212773,0.471456,3.035122,-0.016292,0.032247,0.013898,0.188134,-0.454184,-0.870817,-0.000894,-0.002633,0.008009,-8.391708,-23.161983,-43.548004,,,,,,,
1528191368.382552,0.213186,0.471338,3.035477,0.000782,0.021569,0.014994,0.188505,-0.454078,-0.870792,-0.000822,-0.001747,0.005664,-8.310059,-23.230637,-43.342590,,,,,,,
1528191368.402704,0.213186,0.471872,3.035418,0.039404,-0.015832,-0.002040,0.188454,-0.454554,-0.870555,-0.002602,0.001063,-0.000249,-7.960617,-23.197254,-43.301941,,,,,,,
1528191368.422857,0.212602,0.472918,3.034910,0.062034,-0.047949,-0.014813,0.187845,-0.455486,-0.870199,-0.004266,0.001461,-0.005304,-7.923508,-23.131529,-43.372498,,,,,,,
1528191368.443010,0.212212,0.474275,3.034391,0.075569,-0.024250,-0.001994,0.187375,-0.456694,-0.869668,-0.000363,0.000791,-0.004539,-8.117233,-22.966335,-43.443970,,,,,,,
1528191368.463163,0.211826,0.475879,3.034344,0.082823,-0.014649,0.023639,0.186885,-0.458120,-0.869022,0.000051,0.001684,-0.005337,-8.345612,-23.090799,-43.604919,,,,,,,
1528191368.483316,0.211944,0.477630,3.034421,0.081392,0.027395,0.015089,0.186819,-0.459675,-0.868215,-0.002737,-0.002086,0.003698,-8.211884,-23.374813,-43.018066,,,,,,,
1528191368.503468,0.212964,0.478686,3.034104,0.033589,0.041264,-0.010601,0.187601,-0.460613,-0.867549,-0.003931,-0.002735,0.010570,-7.931519,-23.521013,-43.291809,,,,,,,
1528191368.523621,0.213557,0.478562,3.033781,-0.017028,0.007622,-0.014924,0.188128,-0.460503,-0.867493,-0.002154,-0.002723,0.014390,-7.883514,-23.329159,-43.437164,,,,,,,
1528191368.543774,0.213223,0.478182,3.033561,0.000366,-0.037533,-0.011687,0.187876,-0.460166,-0.867727,0.001486,0.002769,0.001287,-8.147278,-23.210285,-43.268555,,,,,,,
1528191368.563927,0.212541,0.479034,3.033285,0.070399,-0.040445,0.001214,0.187200,-0.460922,-0.867472,0.003916,0.003677,-0.006170,-8.348267,-23.681749,-43.048798,,,,,,,
1528191368.584079,0.211650,0.481012,3.032909,0.108707,-0.052108,0.005529,0.186236,-0.462676,-0.866745,0.005323,0.005691,-0.010559,-8.243378,-23.763962,-43.022736,,,,,,,
1528191368.604232,0.211202,0.482891,3.032495,0.080818,-0.018838,-0.000916,0.185664,-0.464342,-0.865977,-0.000453,0.005785,-0.004095,-8.155212,-23.627485,-43.315918,,,,,,,
1528191368.624385,0.211577,0.483852,3.032365,0.027213,0.034654,0.010745,0.185896,-0.465193,-0.865470,-0.002089,-0.002108,0.008445,-8.189453,-23.586468,-42.922058,,,,,,,
1528191368.644538,0.212092,0.484050,3.032567,0.000789,0.022665,0.010719,0.186322,-0.465367,-0.865284,-0.007825,-0.004008,0.006184,-8.055450,-23.752291,-42.980133,,,,,,,
1528191368.664691,0.212415,0.484229,3.032526,0.014780,0.007747,-0.005275,0.186584,-0.465526,-0.865143,-0.008987,-0.001393,0.007187,-7.763748,-23.649973,-42.748077,,,,,,,
1528191368.684843,0.212311,0.484667,3.032148,0.029976,-0.025529,-0.011660,0.186451,-0.465913,-0.864963,-0.004551,0.001253,0.003238,-7.724960,-23.907021,-42.933594,,,,,,,
1528191368.704996,0.211907,0.485349,3.031852,0.038409,-0.024466,0.001170,0.186034,-0.466517,-0.864727,-0.004348,0.006709,0.002987,-7.781357,-23.952646,-43.169617,,,,,,,
1528191368.725149,0.211652,0.486045,3.031793,0.029720,-0.005165,0.007555,0.185746,-0.467133,-0.864457,-0.003068,0.006485,-0.006271,-7.817291,-24.050611,-43.139008,,,,,,,
1528191368.745302,0.211864,0.486369,3.031799,0.008248,0.022749,0.002185,0.185897,-0.467419,-0.864269,0.003129,0.000424,-0.003864,-7.881119,-23.896139,-42.989777,,,,,,,
1528191368.765455,0.212707,0.486502,3.031648,0.010200,0.043264,-0.005289,0.186613,-0.467536,-0.864052,0.007021,-0.002053,0.002815,-7.909790,-23.985716,-42.944763,,,,,,,
1528191368.785607,0.213638,0.486689,3.031421,0.010294,0.034672,-0.009556,0.187399,-0.467702,-0.863792,0.001078,0.000661,0.003166,-7.765854,-23.903603,-43.089020,,,,,,,
1528191368.805760,0.213950,0.486810,3.031225,0.004262,-0.003094,-0.003152,0.187656,-0.467809,-0.863678,0.008388,-0.004420,0.004242,-7.671509,-23.762117,-42.863190,,,,,,,
1528191368.825913,0.213711,0.486891,3.031277,0.006369,-0.005282,0.006466,0.187441,-0.467880,-0.863686,0.008649,-0.007660,0.002190,-7.932922,-23.929161,-42.712952,,,,,,,
